Tanggal,Close_Asli,Close_Normalisasi
2023-02-27,6854.78,0.4048049490126824
2023-02-28,6843.24,0.38850597440744755
2023-03-01,6844.94,0.39090703652433634
2023-03-02,6857.42,0.4085336572412634
2023-03-03,6813.64,0.346699245783969
2023-03-06,6807.0,0.33732097963329616
2023-03-07,6766.76,0.28048642693705295
2023-03-08,6776.37,0.294059489844878
2023-03-09,6799.79,0.32713765147872564
2023-03-10,6765.3,0.27842433829548935
2023-03-13,6786.96,0.3090166944436163
2023-03-14,6641.81,0.10400836134571054
2023-03-15,6628.14,0.08470099714696169
2023-03-16,6565.73,-0.0034462303324767182
2023-03-17,6678.24,0.15546171012116075
2023-03-20,6612.49,0.06259710177677676
2023-03-21,6691.61,0.17434535747575244
2023-03-24,6762.25,0.27411655037989413
2023-03-27,6708.93,0.1988079432784108
2023-03-28,6760.33,0.27140476257728996
2023-03-29,6839.44,0.3831388943814601
2023-03-30,6808.95,0.3400751391203157
2023-03-31,6805.28,0.3348916697267963
2023-04-03,6827.17,0.36580887545544416
2023-04-04,6833.18,0.3742973362333874
2023-04-05,6819.67,0.35521595435152203
2023-04-06,6792.77,0.31722267732545517
2023-04-10,6771.23,0.2867998079149896
2023-04-11,6811.31,0.3434083782943506
